Dates,Tweets
2023-04-06,"Hello everyone, my name is Red and I am here to share Heavenly's story. Heavenly is a friend of mine who is autistic. She's in a special education school, but that school treats her extremely poorly."
2023-04-06,@1_state @RayJPolitics1 😅😂
2023-04-06,"@emibbuns https://t.co/rhjwNrQNWG
Hello there!

My name is Red Deere! I am a simple deer with a thirst for adventure! This friday night at 12:05am, I'll be playing some Oblivion! It would be awesome if you could join me and the rest of the Deer Troupe! https://t.co/cq0s0XDGDc"
2023-04-06,"@WitchAppr3ntice ""My name is Red!"""
2023-04-05,"@AMoth3rsPromis3 ""Oh uh...my name is Red actually"""
2023-04-05,@LoasinYourmouth @ThePoliticalPom @mmpadellan MY NAME IS RED!
2023-04-05,"@craftofbat ""Well...my name is Red"". The silver eye male smiled https://t.co/nZ2tcTCWvo"
2023-04-05,"@UrduVirsa Red and Black Stendhal 
One hundred years of solitude Marquez 
My name is red Orhan"
2023-04-05,"@THEF4LLENSTAR ""Well considering it went wrong and my best friend who was the maiden died yes...thanks by the way my name is Red"""
2023-04-05,@cotupacs I heard that posting pics or videos of police is now illegal.🤷🏻‍♀️
2023-04-04,"“The beauty and mystery of this world only emerges through affection, attention, interest and compassion . . . open your eyes wide and actually see this world by attending to its colours, details and irony.”

~ Orhan Pamuk, My Name Is Red"
2023-04-03,"@blackintheempir That’s pretty close to what I told everyone who said “But, but Ukraine has a right to defend itself!” over a year ago. 

I tried explaining the whole “War is unpredictable, it has many moving parts that rarely do what you hope or expect them to..” bit."
2023-04-03,Hello. My name is Red Robin. You corrupted my ???. Prepare to give me all of your coffee
2023-04-03,"Yo, my name is Red Apple Cass and YOU'RE watching Disney Channel!"
2023-04-03,"Hello everybody! My name is Red, and I make Minecraft Titles :D If you want a Title for your SMP or your name on the banner, read the web https://t.co/VMZlAoQv7Z then shoot me a dm, simple as that!!!

Peace out! :D"
2023-04-03,"@greenbonded ""Well yeah why not? You should relax on your birthday"". Red would smile brightly. ""Oh my name is Red by the way!"""
2023-04-02,"@PastFutureHero ""Well my name is Red"""
2023-04-02,"okk before i even follow anyone i think i'm gonna do an intro post!!
hi my name is red and i'm 19 years old. my island is called selkie and i've been working on it since nov. 11, 2021! https://t.co/3DY2IaHMpZ"
2023-04-02,@anotheroak my name is red not dick
2023-04-02,Hello. My name is Red Hood. You corrupted my sanity. Prepare to give me all of your coffee
2023-04-02,@saturns_spacee Hi my name is Red I do traditional art mainly of dteam :) ❤️ currently stuck in finals season but i will hopefully post more when that calms down 😭🙏🏽 https://t.co/WfdJWgiX0f
2023-04-02,"@Cormy_Cat THIS TRAILER
beat
beat 
beat
STARTS
beat
beat
RIGHT
beat
NOW!!!
*5x speed of the film studio logo’s animation plays on screen*
Voiceover: “HI. My name is Red, and I live in VEGGIECITY. I’m not your usual everyday vegetable, I’m secretly, a FRUIT. Yep. That’s right. I’m a tomato-“"
2023-04-01,"@damiankelleher After the Nobel, it really fell off I think. Snow, the Black Book and Istanbul or amazing. Still need to read My Name is Red."
2023-04-01,@sheasmith1 My Name Is Red 🌹 https://t.co/VEDa5chCWM
2023-04-01,@damiankelleher He’s one of my absolute favourites. I’ve read his memoir Istanbul at least three times and Snow twice. His main male characters are so flawed but I quite enjoy that. His descriptions are outstanding. I’ve not read the newest nor My Name is Red but everything else.
2023-04-01,@Silverreploid My name is red thunder  pleased to meet you little one https://t.co/EOywPJ0jTa
2023-04-01,"My Name is Red is a historical novel written by the Turkish author Orhan Pamuk, who won the Nobel Prize in 2006. It was originally published in Turkish in 1998 and has since been translated into several languages, including English. 
@damiankelleher @Napoha_ 
#bookreviews https://t.co/C29UbRUJ0R"
2023-04-01,"@damiankelleher I have read SNOW, ISTANBUL and MY NAME IS RED by Pamuk. All very good."
2023-04-01,"@damiankelleher I've read many of his books. My Name is Red, The Museum of Innocence (which I've also visited in Istanbul), and Istanbul are my favorites. I've also read his late Nights of Plague."
2023-04-01,@roughghosts @damiankelleher I had Orhan Pamuk's My Name is Red in my personal library before he got the Nobel.
2023-04-01,Hello. My name is Red Robin. You destroyed my fight. Prepare to run
2023-04-01,"@damiankelleher I started with ""My Name is Red "" and finished smoothly but ""A strangeness in my Mind is too intense. You need breaks to move on."
2023-04-01,@damiankelleher The early ones - The Black Book and My name Is Red - sooo good
2023-04-01,@damiankelleher Oh yeah. I read My Name is Red. I liked it but it was repetitive to a degree I wondered if this was a Turkish literary device I wasn’t getting
2023-04-01,"@damiankelleher He is my favorite writer...his quite unique creative edge in writing and that pamuk touch is found to be absent in his recent books. Snow, Museum of Innocence  My name is Red and Black Book are my all time favorite..."
2023-04-01,@roughghosts Now that is very interesting. My Name is Red etc?
2023-04-01,"@damiankelleher I have read and loved The New Life, The Black Book and Snow. I’ve been saving My Name is Red. Turkish friends say this one is the best of all. I was also lucky enough to visit the Museum of Innocence in Istanbul a few years ago"
2023-04-01,@damiankelleher I love love My name is Red. Came to it through a recommendation from an artist  who turned out not to have finished it
2023-04-01,@damiankelleher I've only read My Name Is Red. I thought it was fantastic. Must read my more. Not sure why but the style reminded me a lot of Rushdie.
2023-03-31,"🇹🇷 Turkey pick is Orhan Pamuk’s opus My Name Is Red. It’s a mystery and an ode to Istanbul. A love story and an art introspection. Told from a variety of perspectives including artists, a dog and even a coin, each page is a surprise.#BookTwitter #booktwt #mynameisred #orhanpamuk https://t.co/6y7h1QsR7O"
2023-03-31,@__zhulik هردو خیلی زیبایین واقعا زیبا...اکثر مادرا اینجورین من زیاد دیدم...خیلی وقتا مادرا اون بچه ای رو زیباتر میبینن که بیشتر شبیه خودشونه...در هر صورت حق داری دلگیر باشی ولی امیدوارم برات بی اهمیت بشه این قضیه
2023-03-31,@__zhulik اونقدر زیاد نیست واقعا...بستگی به جای باشگاه داره بیشتر..از کفش و لباسش ارزونتره
2023-03-31,@French____Lover @__zhulik میشه اسمشو بگی منم برم گوش کنم لطفا؟
2023-03-31,"𝕳𝖊𝖑𝖑𝖔 𝕸𝖔𝖗𝖙𝖆𝖑𝖘!

We're NOW LIVE as Grimm ventures deeper into the cold heart of Penumbra, fleeing from scurrying beasts and other horrors. Will he fall to more of my trickery?

My name is Red, and this Jackass

Link in bio/replies

#VTubers
#VTuberEN 
#VTuberUprising https://t.co/SY0MxL84Nx"
2023-03-31,"Hello, my name is Red. I am transmasc and create illustrations and comics.

Thank you to all of my trans siblings and allies who support trans folk through these very difficult times🏳️‍⚧️🤍
#TransDayOfVisibility https://t.co/b3aaFsxPfc"
2023-03-31,@Mittydiaz @LILAVYVERT Hi my name is Red 👋🏾😅😅😅😅😅
2023-03-31,@Poseidon_Shadow My name is Red🌹 https://t.co/CoMwZhp73N
2023-03-31,"@Mollster14 @Katy1Purl1 Me too.  There's a time and place for e-readers, but the whole sensory experience of book in hand can't be matched.  Also on train, it's fun to see what other people are reading.  One man has a book called 'My name is red' by Orhan Pamuk.  Going to look it up now."
2023-03-31,@AutisticObelisk Pleased to meet you dear my name is red thunder https://t.co/9lT9cnvN2k
2023-03-30,@That1Dude054 Pleased to meet you ma'am my name is red thunder https://t.co/LfUBRrSH5s
2023-03-30,"@monirsehat @M4SK3D_eth @sporkfineart @ManaMonde @Mahini_masoud My talented sis,  big thanks 🤍🫂
My Name Is Red 🌹 

0.36 $Eth
https://t.co/KyNndtVi2U
@bahaar_hamdami 
@25thHourNFTs https://t.co/s6flmDW8tw"
2023-03-30,"@TheHeroOfJunes ""My name is Red if you're wondering"" https://t.co/oH8gWgHRtz"
2023-03-30,"@Nick_Ashdown @newlinesmag And the 1999 quake comments of Orhan Pamuk, who'd just written My Name Is Red &amp; was starting to become an international figure. https://t.co/MJKSky7glE"
2023-03-30,"اسمي أحمر 8: أورهان باموق
My Name is Red 8: Orhan Pamuk https://t.co/koEZZ7Bv24 
الحلقة الثامنة: النقاش الملقب فراشة يحكي ثلاث حكايا شيقة لقرة
نرجوا لكم استماعا ماتعا ومفيدا
#اسمي_أحمر
#أدب_عالمي_مترجم
#أورهان_باموق
#Lisan_Arabi
#My_Name_is_Red https://t.co/3c8FZJmhdz"
2023-03-30,@kthalps Forget about it. Orhan Pamuk’s My Name is Red. Thank me later.
2023-03-29,"@ProtagSquad ""My name is Red"""
2023-03-29,"@ProtagSquad ""My name is Red"""
2023-03-29,"@nonregular_Jens Hi everyone, my name is Red Wallace I'm a coach and I help artists beat burn out, overcome limiting beliefs, gain confidence and clarity in order to achieve their life's purpose.  

I've been coaching creatives for 3 years now. Before I used to be a rapper. What about you?"
2023-03-29,@Rose5330Ky my name is red velvet and i am gay and proud
2023-03-29,"@KikiBobae Hi hi! My name is Red Ambrose and im a Vampire King✨

I havent tried too much bubble tea but vanilla and taro have always been nice!
https://t.co/RJyQmhDVkF https://t.co/yPF5cQ2eCM"
2023-03-29,"@LeaningFarRight @Hotel2a My name is Red and I'm a chocoholic... 

I also have strange sense of humor...
Not going to make a joke about making sure you say Hi, UT and not get mixed up saying UT, hi..  quickly...  nope,  wouldn't make a joke about UTI.."
2023-03-29,@BuildIntoGames my name is(red_progamer)i choose huge ballon cat :)
2023-03-29,@TAICHItaichiNFT My Name Is Red 🌹 https://t.co/QVINIKgC10
2023-03-29,@BrianPate_Art My Name Is Red 🌹 https://t.co/SXNE5X3hVY
2023-03-28,I also fell asleep to my name is red. Where is my prize?
2023-03-28,"@monirsehat @jonahsworld7 @ciscokidcoin @Mahini_masoud @ManaMonde You are one of the best. 
Hug thanks my dear 🤍🫂

My Name Is Red 🌹
@aydasalamii 
@Najmehban https://t.co/5kPYSSrd0g"
2023-03-28,"@SleepingTravel My name is Red. Or Glitchy works as well. 
It’s a pleasure to meet you."
2023-03-28,@PetSimShop @CreativeRBLX_ @Roblox I did all and my Name is Red_xBaron
2023-03-28,"@its_wight and @Purzy0 my name is not Ed, Edd, or Eddie my name is red got it"
2023-03-28,"@goodreads Orhan Pamuk's book ""MY NAME IS RED""."
2023-03-28,"why aren't you wearing any underwear!?

anyways my name is red chicken"
2023-03-27,"@DUALxWIELD ""My name is Red"""
2023-03-27,"@thousandbtc Hi , 🙏
My Name Is Red 🌹 https://t.co/8qcu5JJyXF"
2023-03-27,"@leonardjensan City of Djinns, The Dead-James Joyce, Midnight’s Children, My Name is Red, Notes from the Underground"
2023-03-26,"“I still recall a line recited that evening: I am not me but eternally thee. I’ve always wondered how one might illustrate this line.” - Orhan Pamuk, My Name Is Red"
2023-03-26,Lol hey 👋🏽 n my name is Red Banz now 🥰 lol
2023-03-26,@leonardjensan The Far Pavilions by MM Kaye; My Name is Red by Orhan Pamuk; Rules of Civility by Amor Towles and The Cairo Trilogy by Naguib Mahfouz
2023-03-26,My name is Red ⭕ but I am all the colors of the rainbow 🌈
2023-03-25,@DeconNato @LittleZuni23 My name is red hirohito the husky but you can call red
2023-03-25,@calsberg00000 1) Crime and Punishment- Fyodor Dostoyevsky 2) Disgrace - J. M. Coetzee 3) Memories of my Melancholy Whores-Gabriel García Márquez-4) Snow- Orhan Pamuk (and other great reads by him like : A Strangeness in my Mind; Istanbul; The Red Haired Woman; My name is Red.
2023-03-25,@morgan_freeman @pencilartsam My name is Red sır..
2023-03-25,@quasithikk My name is Red and i love the color red you gave me a heart attack 👿
2023-03-25,"@tothemax2050 In addition to just mentioned gems by @Elif_Safak (The Bastard of Istanbul, 10 Minutes 38 Seconds in this Strange World), @azarnafisi (Reading Lolita in Tehran) and Orhan Pamuk (Istanbul, My Name is Red, Snow, My Father's Suitcase), let me suggest some books by Naguib Mahfouz. https://t.co/aQGViL6ihw"
2023-03-25,@yuruwo2 WELL MY NAME IS RED SO THAT AUTOMATICALLY MAKES HIM MINE 😝😝😝
2023-03-24,@Kashpeler My Name Is Red 🌹 https://t.co/MAPwqMiMnw
2023-03-24,@AsimecaGG @soulstealer_hs i did but its a problem that my name is red? https://t.co/AWAyUZAtMX
2023-03-24,"@sendr0ck @_r0yart Gm 
My Name Is Red 🌹 

@TheLittleShishi 
@kh_samira 
@Fatemeh_Malek_ https://t.co/920Y1CRrkt"
2023-03-23,@arrogantkei My Name Is Red 🌹 https://t.co/CYfiRT9T9o
2023-03-23,"@_NFTsPromoter @cybotz_nft My Name Is Red 🌹 

0.36 $Eth
https://t.co/KyNndtVi2U https://t.co/8hNSUr4n3r"
2023-03-23,@ed11t @reverse_visuals My Name Is Red 🌹 https://t.co/pGMQjoXMVG
2023-03-23,"@NFCsummit @joynxyz My Name Is Red 🌹
It's me,
A lonely woman‌ and naked of love.
It feels that I'm dreaming and my eyes are dreaming the most profound dreams of the world.
Oh it's me, hand in hand with my own solitude and nakef love.
...
A rose is growing inside me,
And I own my whole loneliness. https://t.co/7umwPAVrb5"
2023-03-23,"@H1N4T4H4J1ME ""You can probably guess just through two of the colors I'm wearing but my name is Red"""
2023-03-23,"@salma4ever16 A- She is pronouncing it correctly.
B- Historical Fiction is actually a bloody Genre. Naseem Hijazi, Abdul Halem Sharrar were big names of Historical fiction in Urdu. In foreign literature, Forty rules of love, My name is red, Sidhartha are famous examples of Historical fiction"
2023-03-23,well there's sm but i rec Siddhartha if u didn't read it and my name is red but I didn't read it yet tho yet I'm almost sure that I'll like it https://t.co/fJupihaYla
2023-03-23,@ClownWorld_ My name is Red Ryder and I shoot bb's at red tail hawks. 😉😉
2023-03-23,@ductuanq12 hi my name is red and I loooove red🍁🍁🍁🧣🧣🧣
2023-03-22,4 of 5 stars to My Name Is Red by Orhan Pamuk https://t.co/HHygDcnwDH
2023-03-22,"@bookscache @paulocoelho @Elif_Safak You must read ""My name is Red"" by Orhan Pamuk...what a masterpiece that is"
2023-03-22,"“The beauty and mystery of this world only emerges through affection, attention, interest and compassion . . . open your eyes wide and actually see this world by attending to its colors, details and irony.”
― Orhan Pamuk, My Name Is Red"
2023-03-21,@redrustin @imnjupiter Thank you! My vote also goes to My Name is Red. I haven't read Snow yet. We are going to read Snow as a group! #BookTwitter
2023-03-21,"@Mou_shumi @imnjupiter I would say ""My Name Is Red"". Possibly followed by Snow (though not on your list)"
2023-03-21,"@YelenaFurman @Mou_shumi @ReemK10 @imnjupiter I borrowed NIGHTS OF PLAGUE from the library today. I've read most of his, with the exception of MY NAME IS RED, which has been sitting, undisturbed, comfortably on my shelf for years - can't imagine why???  Let's go for a Pamuk read!!"
2023-03-21,"@ReemK10 @imnjupiter I have Istanbul, My Name is Red and The White Castle. I can get Snow. Are we doing this?💃"
2023-03-21,"Helloo My name is Red Cat and I HAVE BEEN CATNAPPED and AM BEING HELD AGAINST MY WILL. IF YOURE READING THIS PLEASE NOTIFY THE AUTHORITIES and my lawyer @AmyTrask 

-Red Cat 

(“…we DO NOT LIKE HIM…”
-Consensus Opinion of the Tribe)
@TacoCat2012 https://t.co/T3SiTd0vvG"
2023-03-21,"Yo, my name is Red Apple Cass and YOU'RE watching Disney Channel!"
2023-03-20,"@ULTIMATEAMNSI4C ""My name is Red"""
2023-03-20,"@artbygage My Name Is Red 🌹 
https://t.co/KyNndtVi2U"
2023-03-20,How colours are made. Hi eva green my name is red
2023-03-19,"@imnjupiter My first Pamuk was My Name Is Red. I enjoyed it! I am yet to finish Istanbul &amp; I started it a while ago. Museum of Innocence - on my TBR. I liked the White Castle for its daring.   
We need a poll! #BookTwitter: Please vote!
What would be the best Pamuk to start with?"
2023-03-19,"Hi, my name is Red and I like Power Wash Simulator!

#PowerWashSimulator #Dragon https://t.co/itJ0kcx7bg"
2023-03-19,"@Mou_shumi What would the best Pamuk to start with? We have three, I think. My Name is Red. Museum of Innocence. And Istanbul: Memories and Innocence. Maybe another?"
2023-03-19,"🔥volcano-demon🔥

My name is Red Inferno, the queen of magma. I am ambitious and always desire to move forward and explore new territories.

#aiartists
#AIart
#AIArtwork
#beautifulgirls
#demon https://t.co/k9K2cbN0hx"
2023-03-19,"@F1 Hello

My name is Red Bull

I assume you'll gift me the win ??"
2023-03-18,"@Skys_legacy ""I don't think I've seen you either my name is Red!"""
2023-03-18,@thepropgallery My Name Is Red 🌹 https://t.co/ZyRiOmQNkl
2023-03-17,"@Ying819 My Name Is Red 🌹 
https://t.co/KyNndtVPSs https://t.co/OBmHgdYFCf"
2023-03-17,"@money_owns My Name Is Red 🌹 
https://t.co/KyNndtVi2U https://t.co/cXidD6sjHp"
2023-03-17,@shayplaysguitar My name is red :)
2023-03-16,"""   My name is Red Velvet, but please call me Red.   ""

[   Her smile unchanged, an empty stare.   ]"
2023-03-16,"@PalomarRo My Name Is Red 🌹 
https://t.co/KyNndtVi2U https://t.co/p5JZA6dn0q"
2023-03-16,@visiblenick Hello I'm looking for a  Loyal lady don't have time for games or someone who  Wants to cheat on a person . My name is red from NY ⚘⚘⚘⚘ hit back  boo
2023-03-16,"@miiladmoghadam @cfryant @TheLittleShishi @MirNft You are amazing fam. Big thanks 
My Name Is Red 🌹 
@kh_samira 
@bahaar_hamdami https://t.co/HpIJpOrFCr"
2023-03-16,"@CoffeeeCatss Hi my name is Red :D 
I do traditional art mainly of Dteam and i will hopefully post more often once school is less busy 🫶🏼 https://t.co/lnztPeI0xR"
2023-03-16,@Poseidon_Shadow My Name Is Red 🌹 https://t.co/OMCA5Cf8EM
2023-03-16,"@ismaillagardien @JustineLimLaw @BrettFishA @ShareenSingh8 “My Name is Red,” is one of my favourite books of all time."
2023-03-16,@JustineLimLaw @BrettFishA My Name is Red.
2023-03-16,@ShareenSingh8 @BrettFishA Yes. My Name is Red.
2023-03-16,"@Foleee1 Gm my talented friend 💎
My 1/1 piece ""My Name Is Red 🌹 "" https://t.co/b6PkRlsjbK"
2023-03-15,"@H15PUPP3T “My name is Red and I’m a demon, I used to be human. I have a bad past oh and um.. these” her eyes glowed red “but I’m a good person”"
2023-03-15,"Hoje foi o pior dia de apostas, tnc

Geral ganhou dinheiro com jogador desconhecido 

Amigo arrebentou 1000 com 10 reais

Puta que pariu!!!

My name is RED!!!"
2023-03-15,@AaronSchnei3010 My Name is Red by Orhan Pamuk
2023-03-15,Suddenly my name is Red Velvet https://t.co/OiDFzktpgm
2023-03-14,Hello. My name is Red Arrow. You misplaced my bat. Prepare to run
2023-03-14,"#Bakersfield, CA: Hi, my name is RED (CP)! I’m a super confident, people-friendly orange kitty! Who wouldn’t want a handsome, outgoing boy like me to be their BFF (Best Furr Friend)! I was rescued with my brothers... https://t.co/ija7HzFHNd 
#RehomeHour #US #cats #adoptdontshop https://t.co/9MgeWo17SQ"
2023-03-14,"#Bakersfield, CA: Hi, my name is RED (CP)! I’m a super confident, people-friendly orange kitty! Who wouldn’t want a handsome, outgoing boy like me to be their BFF (Best Furr Friend)! I was rescued with my brothers... https://t.co/ija7HzGfCL 
#RehomeHour #US #cats #adoptdontshop https://t.co/GG9kRzIwAq"
2023-03-14,"#canceltattiesbull 
my name is RED 🫡"
2023-03-14,@scorpio22BTC My Name Is Red 🌹 https://t.co/WRycIe8pxp
2023-03-14,@0MapleGirl0 Hi my name is red leader and this box bash...welcome to jackass
2023-03-14,"@fleur_dog @adacow My Name Is Red 🌹 

https://t.co/KyNndtVi2U"
2023-03-14,@fleur_dog @adacow My Name Is Red 🌹 https://t.co/5GyozKsWPA
2023-03-14,"@flywheelfund My Name Is Red 🌹 

https://t.co/KyNndtVi2U"
2023-03-14,@flywheelfund My Name Is Red 🌹 https://t.co/ITEBcf5uAP
2023-03-14,@roblox (my name is red_demon or roi_ghost)
2023-03-14,"@prctyguardian hi my name is red and uh

im red!

can i get paid now"
2023-03-14,@Kashpeler My Name Is Red 🌹 https://t.co/yX83vM4EJC
2023-03-13,@CometoStreets @Soranmansournia والا اگر با این خبرا خشم کم بشه یا ما چیزی یادمون بره و هدفمون تغییر کنه که خاک تو سرمون پس
2023-03-13,"♚ Hiya! My name is Red
♚ 27 ♉ white pan they/them
♚ unemployed, occasional  fanartist 
♚ sdv/ygo/podcasts/personal
♚ we respect ppl in recovery here (drug/alcohol tw)
♚ 18+ please!
♚ https://t.co/XsC5IWdpny"
2023-03-13,"Sweet, I hit 1700 followers.

To all the new peeps here.

My name is Red, I draw characters for my own series called Red Rebellion, I also draw fanart and fakemon : D https://t.co/ji1oLDMRQA"
2023-03-13,"My Name Is Red by Orhan Pamuk
4! #ReadingChallenge2023 https://t.co/vVc47yvpbx"
2023-03-13,"@DionMedici Gm
My Name Is Red 🌹 https://t.co/beBsavDj8O"
2023-03-13,Hello. My name is Red Robin. You destroyed my super. Prepare to be scared
2023-03-12,Every time I see this it reminds me of my name is red and it makes me want to poke my eye out https://t.co/v6iX5wRGig
2023-03-12,"""Dogs do speak, but only to those who know how to listen.""
Orhan Pamuk, My Name Is Red https://t.co/DQFiHP2oIW"
2023-03-12,"@CMushegyan Gm, happy Sunday 🌱
My Name Is Red 🌹

https://t.co/KyNndtVi2U https://t.co/EGt51HwsZu"
2023-03-12,"My Name Is Red 🌹

0.36 $Eth
https://t.co/KyNndtVPSs https://t.co/sWc3FlzVN6"
